issuer,card_name,annual_fee_usd,reward_type,reward_structure_core,notable_credits_perks,category_tags,est_recommended_fico,reward_category_map
Capital One,Capital One Quicksilver Cash Rewards,0,cashback,1.5% cash back on all purchases,No foreign transaction fees,general_spend,670+,1.5x:all_spend
Citi,Citi Strata Elite,450,points,5x air travel; 5x hotels; 3x dining; 3x cruise lines; 1x other,$250 travel credit; Priority Pass,luxury_travel;travel_air;travel_hotel;dining,720+,5x:air_travel;5x:travel_hotel;3x:dining;3x:cruise;1x:other;250usd_credit:travel
U.S. Bank,U.S. Bank Shopper Cash Rewards,0,cashback,6% at chosen retailers; 3% in chosen categories; 1% other,Rotating retailer list,retail;user_choice,690+,6x:user_choice_retail;3x:user_choice;1x:other
U.S. Bank,U.S. Bank Altitude Go,0,points,4x dining; 2x grocery; 2x gas; 2x transit; 2x streaming; 1x other,$15 streaming credit,dining;groceries;gas;transit;streaming,690+,4x:dining;2x:groceries;2x:gas;2x:transit;2x:streaming;1x:other;15usd_credit:streaming
U.S. Bank,U.S. Bank Altitude Reserve,400,points,5x flights; 3x travel; 1x other,$325 travel credit; Priority Pass,luxury_travel;travel_air;travel,720+,5x:air_travel;3x:travel;1x:other;325usd_credit:travel
PayPal,PayPal Cashback Mastercard,0,cashback,3% PayPal purchases; 2% other purchases,No annual fee,online_shopping;general_spend,670+,3x:paypal;2x:all_spend
Discover,Discover it Chrome,0,cashback,2% gas & restaurants; 1% other,Cashback Match first year,gas;dining;general_spend,670+,2x:gas;2x:dining;1x:other
Chase,United Explorer Card,95,points,2x United purchases; 2x dining; 2x hotels; 1x other,Free checked bag; Priority Boarding,airline_united;dining;travel_hotel,700+,2x:airline_united;2x:dining;2x:travel_hotel;1x:other;free_bag:airline
Bilt,Bilt Mastercard,0,points,3x dining; 2x travel; 1x other; rent earns points,Rent Day 2x points; no foreign transaction fees,dining;travel;rent,680+,3x:dining;2x:travel;1x:other;1x:rent
American Express,American Express Centurion Card,5000,points,5x flights booked via AmexTravel; 1x other,Centurion concierge; hotel status; premium travel services,luxury_travel;travel_air;general_spend,Invite-only,5x:air_travel;1x:other
Citi,Citi Custom Cash,0,cashback,5% on top eligible category (up to $500/mo); 1% other,Auto category selection,user_choice;dining;groceries;gas;drugstores;home_improvement;transit;streaming;travel,690+,5x:top_category;1x:other
